PCA1,PCA2
-2.3561569256866313,-1.8123388083906096
-2.35519560601619,-1.81251456596687
-2.354493773540256,-1.812631189902315
-2.3536634075036926,-1.8127771049071006
-2.353856462045141,-1.8126897961299653
-2.352562888313963,-1.8129412699369405
-2.351887736545364,-1.813051813698113
-2.3518237239655524,-1.8130230870596562
-2.351378958368362,-1.8130811289116897
-2.3509317726979235,-1.81313972226586
-2.3506907203253404,-1.8131513406145061
-2.3514997689955868,-1.8129236550622259
-2.3514115032997043,-1.8129004553826509
-2.350889137965289,-1.812976181170869
-2.3501848781406087,-1.813093358266439
-2.3503027527755633,-1.8130231819786178
-2.3504473083603687,-1.812946925461258
-2.3500510492378366,-1.8129939133402613
-2.3491697566533665,-1.8131514338202128
-2.3493894843841336,-1.8130580465820587
-2.3496334725064707,-1.8129591307270359
-2.3485460395911635,-1.8131636278152328
-2.349022841718689,-1.8130116567804127
-2.348757535987519,-1.8130288021432066
-2.3485674174383404,-1.813028813358698
-2.3477346238105135,-1.8131752815788735
-2.347646365632646,-1.8131520801860443
-2.3481765141388102,-1.8129879522291874
-2.3481391822663324,-1.8129531454164578
-2.348768763552544,-1.8127663580666713
-2.3487581048693853,-1.8127254727929234
-0.5962358960984125,-2.2870813694739818
-2.348584000826367,-1.8126785202736486
-2.349880510307298,-1.8123397489602953
-2.3494333171188444,-1.8123983440277203
-2.3482173581609223,-1.8126321304720017
-2.347515525684989,-1.8127487544074472
-2.3473253996177954,-1.8127487673361935
-2.3474942083186714,-1.8126669838599514
-2.347328335367549,-1.812661469829816
-2.3471382093003554,-1.812661482758562
-2.346768630885157,-1.8127023904632928
-2.3462971993741464,-1.8127665091183562
-2.3468758543549684,-1.8125913271884695
-2.346993721714425,-1.8125211525586367
-2.345879615367282,-1.8127317281631183
-2.344717002787998,-1.8129533576853631
-2.344473522824152,-1.812965529249401
-2.344489552366342,-1.8129185620881259
-2.344813553023654,-1.812801412452769
-2.3444415467746755,-1.8128428734281572
-2.3435335885189015,-1.8130064706558717
-2.3435762764568975,-1.812953428404821
-2.3434613373291797,-1.8129363072415305
-2.3436058929139847,-1.8128600507241703
-2.3435443004074212,-1.8128307725835773
-2.3441738892116484,-1.8126439835205366
-2.3455479909117893,-1.8122875299842527
-2.345510658796795,-1.81225272322679
-2.3447312265836358,-1.8123870310984205
-2.344439240387648,-1.812410256580221
-2.345197370028003,-1.812194174789852
-2.3467242584048447,-1.8118029032253484
-2.3458429733383896,-1.8119604219920447
-2.3459608406978463,-1.811890247362212
-2.345128047312536,-1.8120367155271218
-2.3438102352588013,-1.8122937129217362
-2.3429531960329184,-1.812445706387539
-2.3418924363069307,-1.8126441250147176
-2.3417265633558078,-1.8126386109845818
-2.3414345919533335,-1.8126618330951396
-2.3411159323255104,-1.812691137093225
-2.3406954200869072,-1.8127436519311106
-2.3399911675377254,-1.8128608273686926
-2.340109034897182,-1.81279065273886
-2.339021601739358,-1.8129951498823231
-2.3387805641602886,-1.8130067648597263
-2.3388474979388567,-1.812948197307782
-2.3389387069025074,-1.8128840977677247
-2.3385958014341117,-1.8129189270667034
-2.338097682182785,-1.812989127498762
-2.3379318092316628,-1.8129836134686261
-2.3377174300483987,-1.8129891533562534
-2.3390648733527337,-1.8126387749097463
-2.3392846083589993,-1.812545386013605
-2.338633702188456,-1.8126504045291503
-2.338904356224613,-1.8125454118710966
-2.339895292352142,-1.8122762766141862
-2.3392928926562564,-1.812370241156701
-2.3396411684986504,-1.8122475595332321
-2.339914250126071,-1.812142013659787
-2.340441971283488,-1.811978438863055
-2.340865426789859,-1.8118386248055385
-2.3414198211365953,-1.8116689715477876
-2.342922478466378,-1.8112832219129342
-2.341655570891538,-1.811528618861613
-2.3418753058978035,-1.8114352299654721
-2.342531567891349,-1.8112423624414125
-2.3446235388851124,-1.8107223161504207
-2.34307531834844,-1.8110318205386713
-2.343603039505857,-1.810868245741939
-2.3456950104996204,-1.8103481994509472
-2.3432470627990694,-1.810862739556052
-2.3421086958178408,-1.8110788438326697
-2.3413801826345737,-1.811201547942388
-2.3410106042193752,-1.811242455647119
-2.3402311720062166,-1.8113767635187492
-2.3394493122017943,-1.8115116246057703
-2.33967146000581,-1.8114176858654811
-2.3394546682673125,-1.8114237755419906
-2.339393075760749,-1.8113944974013971
-2.339355743645755,-1.8113596906439338
-2.339396018786001,-1.8113071982370312
-2.339693346253994,-1.811196127062693
-2.3399664426749274,-1.8110905778180053
-2.339902422577101,-1.8110618528928033
-2.3404058978939455,-1.8109038033969644
-2.340856026832152,-1.8107579108231628
-2.3407677608937534,-1.8107347111988539
-2.341373089063894,-1.810553450807949
-2.3415685784721045,-1.8104655871574349
-2.3411480662335014,-1.8105181019953203
-2.3404704868736386,-1.8106291989718846
-2.3405107469778543,-1.8105767099914907
-2.3398841014413962,-1.8106761998348997
-2.339233195513369,-1.810781218295179
-2.3386332231662297,-1.8108746296775693
-2.338622564483071,-1.8108337444038214
